Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
072_R - Match found between block (0, 0) and block (0, 1)
072_R - Match found between block (0, 0) and block (0, 2)
072_R - Match found between block (0, 0) and block (0, 3)
072_R - Match found between block (0, 0) and block (0, 4)
072_R - Match found between block (0, 0) and block (0, 5)
072_R - Match found between block (0, 0) and block (0, 6)
072_R - Match found between block (0, 0) and block (0, 7)
072_R - Match found between block (0, 0) and block (0, 8)
072_R - Match found between block (0, 0) and block (0, 9)
072_R - Match found between block (0, 0) and block (0, 10)
072_R - Match found between block (0, 0) and block (0, 11)
072_R - Match found between block (0, 0) and block (0, 12)
072_R - Match found between block (0, 0) and block (0, 13)
072_R - Match found between block (0, 0) and block (0, 14)
072_R - Match found between block (0, 0) and block (0, 15)
072_R - Match found between block (0, 0) and block (0, 16)
072_R - Match found between block (0, 0) and block (0, 17)
072_R - Match found between block (0, 0) and block (0, 18)
072_R - Match found between block (0, 0) and block (0, 19)
072_R - Match found between block (0, 0) and block (0, 20)
072_R - Match found between block (0, 0) and block (0, 21)
072_R - Match found between block (0, 0) and block (0, 22)
072_R - Match found between block (0, 0) and block (0, 23)
072_R - Match found between block (0, 0) and block (0, 24)
072_R - Match found between block (0, 0) and block (0, 25)
072_R - Match found between block (0, 0) and block (0, 26)
072_R - Match found between block (0, 0) and block (0, 27)
072_R - Match found between block (0, 0) and block (0, 28)
072_R - Match found between block (0, 0) and block (0, 29)
072_R - Match found between block (0, 0) and block (0, 30)
072_R - Match found between block (0, 0) and block (0, 31)
072_R - Match found between block (0, 0) and block (1, 0)
072_R - Match found between block (0, 0) and block (1, 1)
072_R - Match found between block (0, 0) and block (1, 2)
072_R - Match found between block (0, 0) and block (1, 3)
072_R - Match found between block (0, 0) and block (1, 4)
072_R - Match found between block (0, 0) and block (1, 5)
072_R - Match found between block (0, 0) and block (1, 6)
072_R - Match found between block (0, 0) and block (1, 7)
072_R - Match found between block (0, 0) and block (1, 8)
072_R - Match found between block (0, 0) and block (1, 9)
072_R - Match found between block (0, 0) and block (1, 10)
072_R - Match found between block (0, 0) and block (1, 11)
072_R - Match found between block (0, 0) and block (1, 12)
072_R - Match found between block (0, 0) and block (1, 13)
072_R - Match found between block (0, 0) and block (1, 14)
072_R - Match found between block (0, 0) and block (1, 15)
072_R - Match found between block (0, 0) and block (1, 16)
072_R - Match found between block (0, 0) and block (1, 17)
072_R - Match found between block (0, 0) and block (1, 18)
072_R - Match found between block (0, 0) and block (1, 19)
072_R - Match found between block (0, 0) and block (1, 20)
072_R - Match found between block (0, 0) and block (1, 21)
072_R - Match found between block (0, 0) and block (1, 22)
072_R - Match found between block (0, 0) and block (1, 23)
072_R - Match found between block (0, 0) and block (1, 24)
072_R - Match found between block (0, 0) and block (1, 25)
072_R - Match found between block (0, 0) and block (1, 26)
072_R - Match found between block (0, 0) and block (1, 27)
072_R - Match found between block (0, 0) and block (1, 28)
072_R - Match found between block (0, 0) and block (1, 29)
072_R - Match found between block (0, 0) and block (1, 30)
072_R - Match found between block (0, 0) and block (1, 31)
072_R - Match found between block (0, 0) and block (2, 0)
072_R - Match found between block (0, 0) and block (2, 1)
072_R - Match found between block (0, 0) and block (2, 2)
072_R - Match found between block (0, 0) and block (2, 3)
072_R - Match found between block (0, 0) and block (2, 4)
072_R - Match found between block (0, 0) and block (2, 5)
072_R - Match found between block (0, 0) and block (2, 6)
072_R - Match found between block (0, 0) and block (2, 7)
072_R - Match found between block (0, 0) and block (2, 8)
072_R - Match found between block (0, 0) and block (2, 9)
072_R - Match found between block (0, 0) and block (2, 10)
072_R - Match found between block (0, 0) and block (2, 11)
072_R - Match found between block (0, 0) and block (2, 12)
072_R - Match found between block (0, 0) and block (2, 13)
072_R - Match found between block (0, 0) and block (2, 14)
072_R - Match found between block (0, 0) and block (2, 15)
072_R - Match found between block (0, 0) and block (2, 16)
072_R - Match found between block (0, 0) and block (2, 17)
072_R - Match found between block (0, 0) and block (2, 18)
072_R - Match found between block (0, 0) and block (2, 19)
072_R - Match found between block (0, 0) and block (2, 20)
072_R - Match found between block (0, 0) and block (2, 21)
072_R - Match found between block (0, 0) and block (2, 22)
072_R - Match found between block (0, 0) and block (2, 23)
072_R - Match found between block (0, 0) and block (2, 24)
072_R - Match found between block (0, 0) and block (2, 25)
072_R - Match found between block (0, 0) and block (2, 26)
072_R - Match found between block (0, 0) and block (2, 27)
072_R - Match found between block (0, 0) and block (2, 28)
072_R - Match found between block (0, 0) and block (2, 29)
072_R - Match found between block (0, 0) and block (2, 30)
072_R - Match found between block (0, 0) and block (2, 31)
072_R - Match found between block (0, 0) and block (3, 0)
072_R - Match found between block (0, 0) and block (3, 1)
072_R - Match found between block (0, 0) and block (3, 2)
072_R - Match found between block (0, 0) and block (3, 3)
072_R - Match found between block (0, 0) and block (3, 4)
072_R - Match found between block (0, 0) and block (3, 5)
072_R - Match found between block (0, 0) and block (3, 6)
072_R - Match found between block (0, 0) and block (3, 7)
072_R - Match found between block (0, 0) and block (3, 8)
072_R - Match found between block (0, 0) and block (3, 9)
072_R - Match found between block (0, 0) and block (3, 10)
072_R - Match found between block (0, 0) and block (3, 11)
072_R - Match found between block (0, 0) and block (3, 12)
072_R - Match found between block (0, 0) and block (3, 13)
072_R - Match found between block (0, 0) and block (3, 14)
072_R - Match found between block (0, 0) and block (3, 15)
072_R - Match found between block (0, 0) and block (3, 16)
072_R - Match found between block (0, 0) and block (3, 17)
072_R - Match found between block (0, 0) and block (3, 18)
072_R - Match found between block (0, 0) and block (3, 19)
072_R - Match found between block (0, 0) and block (3, 20)
072_R - Match found between block (0, 0) and block (3, 21)
072_R - Match found between block (0, 0) and block (3, 22)
072_R - Match found between block (0, 0) and block (3, 23)
072_R - Match found between block (0, 0) and block (3, 24)
072_R - Match found between block (0, 0) and block (3, 25)
072_R - Match found between block (0, 0) and block (3, 26)
072_R - Match found between block (0, 0) and block (3, 27)
072_R - Match found between block (0, 0) and block (3, 28)
072_R - Match found between block (0, 0) and block (3, 29)
072_R - Match found between block (0, 0) and block (3, 30)
072_R - Match found between block (0, 0) and block (3, 31)
072_R - Match found between block (0, 0) and block (4, 0)
072_R - Match found between block (0, 0) and block (4, 1)
072_R - Match found between block (0, 0) and block (4, 2)
072_R - Match found between block (0, 0) and block (4, 3)
072_R - Match found between block (0, 0) and block (4, 4)
072_R - Match found between block (0, 0) and block (4, 5)
072_R - Match found between block (0, 0) and block (4, 6)
072_R - Match found between block (0, 0) and block (4, 7)
072_R - Match found between block (0, 0) and block (4, 8)
072_R - Match found between block (0, 0) and block (4, 9)
072_R - Match found between block (0, 0) and block (4, 10)
072_R - Match found between block (0, 0) and block (4, 11)
072_R - Match found between block (0, 0) and block (4, 12)
072_R - Match found between block (0, 0) and block (4, 13)
072_R - Match found between block (0, 0) and block (4, 14)
072_R - Match found between block (0, 0) and block (4, 15)
072_R - Match found between block (0, 0) and block (4, 16)
072_R - Match found between block (0, 0) and block (4, 17)
072_R - Match found between block (0, 0) and block (4, 18)
072_R - Match found between block (0, 0) and block (4, 19)
072_R - Match found between block (0, 0) and block (4, 20)
072_R - Match found between block (0, 0) and block (4, 21)
072_R - Match found between block (0, 0) and block (4, 22)
072_R - Match found between block (0, 0) and block (4, 23)
072_R - Match found between block (0, 0) and block (4, 24)
072_R - Match found between block (0, 0) and block (4, 25)
072_R - Match found between block (0, 0) and block (4, 26)
072_R - Match found between block (0, 0) and block (4, 27)
072_R - Match found between block (0, 0) and block (4, 28)
072_R - Match found between block (0, 0) and block (4, 29)
072_R - Match found between block (0, 0) and block (4, 30)
072_R - Match found between block (0, 0) and block (4, 31)
072_R - Match found between block (0, 0) and block (5, 0)
072_R - Match found between block (0, 0) and block (5, 1)
072_R - Match found between block (0, 0) and block (5, 2)
072_R - Match found between block (0, 0) and block (5, 3)
072_R - Match found between block (0, 0) and block (5, 4)
072_R - Match found between block (0, 0) and block (5, 5)
072_R - Match found between block (0, 0) and block (5, 6)
072_R - Match found between block (0, 0) and block (5, 7)
072_R - Match found between block (0, 0) and block (5, 8)
072_R - Match found between block (0, 0) and block (5, 9)
072_R - Match found between block (0, 0) and block (5, 10)
072_R - Match found between block (0, 0) and block (5, 11)
072_R - Match found between block (0, 0) and block (5, 12)
072_R - Match found between block (0, 0) and block (5, 13)
072_R - Match found between block (0, 0) and block (5, 14)
072_R - Match found between block (0, 0) and block (5, 15)
072_R - Match found between block (0, 0) and block (5, 16)
072_R - Match found between block (0, 0) and block (5, 17)
072_R - Match found between block (0, 0) and block (5, 18)
072_R - Match found between block (0, 0) and block (5, 19)
072_R - Match found between block (0, 0) and block (5, 20)
072_R - Match found between block (0, 0) and block (5, 21)
072_R - Match found between block (0, 0) and block (5, 22)
072_R - Match found between block (0, 0) and block (5, 23)
072_R - Match found between block (0, 0) and block (5, 24)
072_R - Match found between block (0, 0) and block (5, 25)
072_R - Match found between block (0, 0) and block (5, 26)
072_R - Match found between block (0, 0) and block (5, 27)
072_R - Match found between block (0, 0) and block (5, 28)
072_R - Match found between block (0, 0) and block (5, 29)
072_R - Match found between block (0, 0) and block (5, 30)
072_R - Match found between block (0, 0) and block (5, 31)
072_R - Match found between block (0, 0) and block (6, 0)
072_R - Match found between block (0, 0) and block (6, 1)
072_R - Match found between block (0, 0) and block (6, 2)
072_R - Match found between block (0, 0) and block (6, 3)
072_R - Match found between block (0, 0) and block (6, 4)
072_R - Match found between block (0, 0) and block (6, 5)
072_R - Match found between block (0, 0) and block (6, 6)
072_R - Match found between block (0, 0) and block (6, 7)
072_R - Match found between block (0, 0) and block (6, 8)
072_R - Match found between block (0, 0) and block (6, 9)
072_R - Match found between block (0, 0) and block (6, 10)
072_R - Match found between block (0, 0) and block (6, 11)
072_R - Match found between block (0, 0) and block (6, 12)
072_R - Match found between block (0, 0) and block (6, 13)
072_R - Match found between block (0, 0) and block (6, 14)
072_R - Match found between block (0, 0) and block (6, 15)
072_R - Match found between block (0, 0) and block (6, 16)
072_R - Match found between block (0, 0) and block (6, 17)
072_R - Match found between block (0, 0) and block (6, 18)
072_R - Match found between block (0, 0) and block (6, 19)
072_R - Match found between block (0, 0) and block (6, 20)
072_R - Match found between block (0, 0) and block (6, 21)
072_R - Match found between block (0, 0) and block (6, 22)
