Current BLOCK_SIZE = 16, current THRESHOLD = 10.0
094_F - Match found between block (0, 0) and block (0, 5)
094_F - Match found between block (0, 0) and block (0, 7)
094_F - Match found between block (0, 0) and block (1, 20)
094_F - Match found between block (0, 0) and block (1, 31)
094_F - Match found between block (0, 0) and block (2, 0)
094_F - Match found between block (0, 0) and block (2, 5)
094_F - Match found between block (0, 0) and block (2, 18)
094_F - Match found between block (0, 0) and block (3, 0)
094_F - Match found between block (0, 0) and block (4, 0)
094_F - Match found between block (0, 0) and block (4, 16)
094_F - Match found between block (0, 0) and block (5, 12)
094_F - Match found between block (0, 0) and block (5, 14)
094_F - Match found between block (0, 0) and block (5, 30)
094_F - Match found between block (0, 0) and block (6, 1)
094_F - Match found between block (0, 0) and block (6, 8)
094_F - Match found between block (0, 0) and block (8, 20)
094_F - Match found between block (0, 0) and block (9, 13)
094_F - Match found between block (0, 0) and block (11, 20)
094_F - Match found between block (0, 0) and block (13, 4)
094_F - Match found between block (0, 0) and block (15, 5)
094_F - Match found between block (0, 0) and block (15, 20)
094_F - Match found between block (0, 0) and block (15, 25)
094_F - Match found between block (0, 0) and block (17, 6)
094_F - Match found between block (0, 0) and block (18, 28)
094_F - Match found between block (0, 0) and block (19, 19)
094_F - Match found between block (0, 0) and block (20, 17)
094_F - Match found between block (0, 0) and block (20, 31)
094_F - Match found between block (0, 0) and block (21, 15)
094_F - Match found between block (0, 0) and block (21, 29)
094_F - Match found between block (0, 0) and block (22, 14)
094_F - Match found between block (0, 0) and block (24, 0)
094_F - Match found between block (0, 0) and block (25, 27)
094_F - Match found between block (0, 0) and block (26, 25)
094_F - Match found between block (0, 0) and block (30, 31)
094_F - Match found between block (0, 0) and block (31, 27)
094_F - Match found between block (0, 0) and block (31, 31)
094_F - Match found between block (0, 1) and block (0, 2)
094_F - Match found between block (0, 1) and block (0, 10)
094_F - Match found between block (0, 1) and block (0, 24)
094_F - Match found between block (0, 1) and block (0, 29)
094_F - Match found between block (0, 1) and block (1, 1)
094_F - Match found between block (0, 1) and block (1, 2)
094_F - Match found between block (0, 1) and block (1, 17)
094_F - Match found between block (0, 1) and block (1, 26)
094_F - Match found between block (0, 1) and block (1, 29)
094_F - Match found between block (0, 1) and block (2, 1)
094_F - Match found between block (0, 1) and block (2, 8)
094_F - Match found between block (0, 1) and block (2, 13)
094_F - Match found between block (0, 1) and block (2, 17)
094_F - Match found between block (0, 1) and block (2, 19)
094_F - Match found between block (0, 1) and block (3, 1)
094_F - Match found between block (0, 1) and block (3, 2)
094_F - Match found between block (0, 1) and block (3, 13)
094_F - Match found between block (0, 1) and block (3, 15)
094_F - Match found between block (0, 1) and block (3, 18)
094_F - Match found between block (0, 1) and block (3, 25)
094_F - Match found between block (0, 1) and block (3, 27)
094_F - Match found between block (0, 1) and block (4, 1)
094_F - Match found between block (0, 1) and block (4, 3)
094_F - Match found between block (0, 1) and block (4, 13)
094_F - Match found between block (0, 1) and block (4, 25)
094_F - Match found between block (0, 1) and block (4, 26)
094_F - Match found between block (0, 1) and block (5, 3)
094_F - Match found between block (0, 1) and block (5, 8)
094_F - Match found between block (0, 1) and block (5, 23)
094_F - Match found between block (0, 1) and block (6, 4)
094_F - Match found between block (0, 1) and block (6, 16)
094_F - Match found between block (0, 1) and block (6, 17)
094_F - Match found between block (0, 1) and block (6, 27)
094_F - Match found between block (0, 1) and block (6, 28)
094_F - Match found between block (0, 1) and block (6, 29)
094_F - Match found between block (0, 1) and block (6, 31)
094_F - Match found between block (0, 1) and block (7, 22)
094_F - Match found between block (0, 1) and block (7, 31)
094_F - Match found between block (0, 1) and block (8, 6)
094_F - Match found between block (0, 1) and block (8, 27)
094_F - Match found between block (0, 1) and block (8, 29)
094_F - Match found between block (0, 1) and block (8, 31)
094_F - Match found between block (0, 1) and block (9, 9)
094_F - Match found between block (0, 1) and block (9, 23)
094_F - Match found between block (0, 1) and block (10, 5)
094_F - Match found between block (0, 1) and block (10, 8)
094_F - Match found between block (0, 1) and block (10, 11)
094_F - Match found between block (0, 1) and block (10, 18)
094_F - Match found between block (0, 1) and block (10, 25)
094_F - Match found between block (0, 1) and block (11, 1)
094_F - Match found between block (0, 1) and block (11, 12)
094_F - Match found between block (0, 1) and block (11, 13)
094_F - Match found between block (0, 1) and block (11, 23)
094_F - Match found between block (0, 1) and block (11, 26)
094_F - Match found between block (0, 1) and block (11, 28)
094_F - Match found between block (0, 1) and block (11, 30)
094_F - Match found between block (0, 1) and block (12, 6)
094_F - Match found between block (0, 1) and block (12, 9)
094_F - Match found between block (0, 1) and block (12, 11)
094_F - Match found between block (0, 1) and block (12, 12)
094_F - Match found between block (0, 1) and block (13, 3)
094_F - Match found between block (0, 1) and block (13, 5)
094_F - Match found between block (0, 1) and block (13, 24)
094_F - Match found between block (0, 1) and block (13, 26)
094_F - Match found between block (0, 1) and block (13, 31)
094_F - Match found between block (0, 1) and block (14, 3)
094_F - Match found between block (0, 1) and block (14, 22)
094_F - Match found between block (0, 1) and block (15, 19)
094_F - Match found between block (0, 1) and block (15, 22)
094_F - Match found between block (0, 1) and block (15, 24)
094_F - Match found between block (0, 1) and block (16, 11)
094_F - Match found between block (0, 1) and block (16, 22)
094_F - Match found between block (0, 1) and block (16, 23)
094_F - Match found between block (0, 1) and block (16, 31)
094_F - Match found between block (0, 1) and block (17, 2)
094_F - Match found between block (0, 1) and block (17, 15)
094_F - Match found between block (0, 1) and block (17, 16)
094_F - Match found between block (0, 1) and block (17, 21)
